ID,作成日,タイトル,カテゴリ,タグ,元ネタ,ステータス,スラッグ,備考
1,2025-07-03,Calendly商談フォローアップ自動化システム,営業支援・効率化,"Calendly,商談管理,フォローアップ,CRM連携",Zapier CRM Automation - Calendly follow-up automation,published,calendly-followup-automation,
2,2025-07-03,顧客メール自動分類システム,カスタマーサポート,"メール管理,AI分類,顧客対応,業務効率化",GitHub awesome-n8n-templates - AI Gmail label automation,published,email-auto-classification,
3,2025-07-03,Facebook広告リード自動管理システム,マーケティング自動化,"Facebook広告,リード管理,CRM連携,AIスコアリング",Zapier CRM Automation guides - Facebook Lead Ads integration,published,facebook-lead-automation,
4,2025-07-03,Gmail請求書自動管理システム,経理自動化,"請求書管理,PDF処理,AI-OCR,Google連携",n8n workflow template #3016 - Invoices from Gmail to Drive and Google Sheets,published,gmail-invoice-automation,
5,2025-07-03,QuickBooks顧客・請求書一括処理システム,会計・経理自動化,"QuickBooks,経理自動化,請求管理,顧客管理",n8n workflow template #949 - Create a customer and send the invoice automatically,published,quickbooks-customer-invoice,
6,2025-07-03,QuickBooks請求書・経費自動処理システム,経理・経費管理,"QuickBooks,経費精算,OCR,レシート管理",Bannerbear blog - QuickBooks invoice automation workflow,published,quickbooks-expense-automation,
7,2025-07-03,Google Sheets業務データ自動同期システム,データ管理・連携,"Google Sheets,自動同期,Slack連携,タスク管理",Capsule CRM blog - Google Sheets workflow automations,published,sheets-data-sync-automation,
8,2025-07-03,Slack業務通知自動化システム,コミュニケーション効率化,"Slack連携,通知自動化,タスク管理,チーム連携",GitHub awesome-n8n-templates - Slack integration section,published,slack-notification-automation,
9,2025-07-03,Slack営業パイプライン管理システム,営業支援・可視化,"Slack連携,営業管理,パイプライン,CRM連携",Bannerbear blog - HubSpot pipeline automation with Slack,published,slack-pipeline-management,
10,2025-07-03,Stripe請求書自動発行システム,決済・請求業務,"Stripe連携,請求書自動化,決済連動,PDF生成",n8n workflow template #2675 - Generate Stripe invoice and send it by email,published,stripe-invoice-automation,
